,Start,End
0,2019-01-05 01:24:42.897528,2019-01-05 01:24:43.652784
1,2019-01-05 01:24:43.762954,2019-01-05 01:24:44.955962
2,2019-01-05 01:24:45.061759,2019-01-05 01:24:45.513010
3,2019-01-05 01:24:45.619769,2019-01-05 01:24:46.586665
4,2019-01-05 01:24:46.706015,2019-01-05 01:24:48.791646
5,2019-01-05 01:24:49.012655,2019-01-05 01:24:49.333508
6,2019-01-05 01:24:49.775811,2019-01-05 01:24:50.761839
7,2019-01-05 01:24:51.314574,2019-01-05 01:24:51.419557
8,2019-01-05 01:24:55.601270,2019-01-05 01:24:59.576150
9,2019-01-05 01:24:59.685481,2019-01-05 01:25:00.015306
10,2019-01-05 01:25:00.125577,2019-01-05 01:25:00.345366
11,2019-01-05 01:25:00.450304,2019-01-05 01:25:00.555967
12,2019-01-05 01:25:00.660913,2019-01-05 01:25:05.183606
13,2019-01-05 01:25:05.499047,2019-01-05 01:25:05.713903
14,2019-01-05 01:25:06.039303,2019-01-05 01:25:07.757978
15,2019-01-05 01:25:07.868068,2019-01-05 01:25:08.408037
16,2019-01-05 01:25:08.732865,2019-01-05 01:25:09.062082
